Entry	Entry name	Protein names	Gene names
Q9BYC8	RM32_HUMAN	39S ribosomal protein L32, mitochondrial (L32mt) (MRP-L32) (Mitochondrial large ribosomal subunit protein bL32m)	MRPL32 HSPC283
Q9BYD6	RM01_HUMAN	39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1) (Mitochondrial large ribosomal subunit protein uL1m)	MRPL1 BM-022
Q5VY09	IER5_HUMAN	Immediate early response gene 5 protein	IER5 PP4583 SBBI48
Q9P0M9	RM27_HUMAN	39S ribosomal protein L27, mitochondrial (L27mt) (MRP-L27) (Mitochondrial large ribosomal subunit protein bL27m)	MRPL27 HSPC250
P62280	RS11_HUMAN	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11
P62273	RS29_HUMAN	40S ribosomal protein S29 (Small ribosomal subunit protein uS14)	RPS29
Q9ULI2	RIMKB_HUMAN	Beta-citrylglutamate synthase B (EC 6.3.1.17) (N-acetyl-aspartylglutamate synthetase B) (NAAG synthetase B) (NAAGS) (EC 6.3.2.41) (Ribosomal protein S6 modification-like protein B)	RIMKLB FAM80B KIAA1238
O75394	RM33_HUMAN	39S ribosomal protein L33, mitochondrial (L33mt) (MRP-L33) (Mitochondrial large ribosomal subunit protein bL33m)	MRPL33 C2orf1
P05386	RLA1_HUMAN	60S acidic ribosomal protein P1 (Large ribosomal subunit protein P1)	RPLP1 RRP1
Q9Y3D3	RT16_HUMAN	28S ribosomal protein S16, mitochondrial (MRP-S16) (S16mt) (Mitochondrial small ribosomal subunit protein bS16m)	MRPS16 RPMS16 CGI-132
P51398	RT29_HUMAN	28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3) (Ionizing radiation resistance conferring protein) (Mitochondrial small ribosomal subunit protein mS29)	DAP3 MRPS29
P82921	RT21_HUMAN	28S ribosomal protein S21, mitochondrial (MRP-S21) (S21mt) (Mitochondrial small ribosomal subunit protein bS21m)	MRPS21 RPMS21 MDS016
P82673	RT35_HUMAN	28S ribosomal protein S35, mitochondrial (MRP-S35) (S35mt) (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (Mitochondrial small ribosomal subunit protein mS35)	MRPS35 MRPS28 HDCMD11P MDS023 PSEC0213
Q9Y3D5	RT18C_HUMAN	28S ribosomal protein S18c, mitochondrial (MRP-S18-c) (Mrps18-c) (S18mt-c) (28S ribosomal protein S18-1, mitochondrial) (MRP-S18-1) (Mitochondrial small ribosomal subunit protein bS18c) (Mitochondrial small ribosomal subunit protein bS18m)	MRPS18C CGI-134
P63244	RACK1_HUMAN	Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21
P61927	RL37_HUMAN	60S ribosomal protein L37 (G1.16) (Large ribosomal subunit protein eL37)	RPL37
P60866	RS20_HUMAN	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	RPS20
Q5JNZ5	RS26L_HUMAN	Putative 40S ribosomal protein S26-like 1	RPS26P11 RPS26L1
P82914	RT15_HUMAN	28S ribosomal protein S15, mitochondrial (MRP-S15) (S15mt) (Mitochondrial small ribosomal subunit protein uS15m)	MRPS15 RPMS15 DC37
P82909	RT36_HUMAN	28S ribosomal protein S36, mitochondrial (MRP-S36) (S36mt) (Alpha-ketoglutarate dehydrogenase component 4)	MRPS36 KGD4 DC47
Q9BQC6	RT63_HUMAN	Ribosomal protein 63, mitochondrial (hMRP63) (Mitochondrial large ribosomal subunit protein mL63) (Mitochondrial ribosomal protein 63) (Mitochondrial ribosomal protein L57)	MRPL57 MRP63
P84098	RL19_HUMAN	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	RPL19
P42766	RL35_HUMAN	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	RPL35
P62277	RS13_HUMAN	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	RPS13
P82932	RT06_HUMAN	28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt) (Mitochondrial small ribosomal subunit protein bS6m)	MRPS6 C21orf101 RPMS6
Q07020	RL18_HUMAN	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	RPL18
P08708	RS17_HUMAN	40S ribosomal protein S17 (Small ribosomal subunit protein eS17)	RPS17 RPS17L
Q9BYN8	RT26_HUMAN	28S ribosomal protein S26, mitochondrial (MRP-S26) (S26mt) (28S ribosomal protein S13, mitochondrial) (MRP-S13) (S13mt) (Mitochondrial small ribosomal subunit protein mS26)	MRPS26 C20orf193 RPMS13
P08865	RSSA_HUMAN	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA LAMBR LAMR1
P62906	RL10A_HUMAN	60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	RPL10A NEDD6
P62861	RS30_HUMAN	40S ribosomal protein S30 (Small ribosomal subunit protein eS30)	FAU
Q96EL2	RT24_HUMAN	28S ribosomal protein S24, mitochondrial (MRP-S24) (S24mt) (Mitochondrial small ribosomal subunit protein uS3m) (bMRP-47) (bMRP47)	MRPS24 HSPC335
Q9Y2Q9	RT28_HUMAN	28S ribosomal protein S28, mitochondrial (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt) (Mitochondrial small ribosomal subunit protein bS1m)	MRPS28 MRPS35 HSPC007
P49207	RL34_HUMAN	60S ribosomal protein L34 (Large ribosomal subunit protein eL34)	RPL34
P62424	RL7A_HUMAN	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3
Q9H6W3	RIOX1_HUMAN	Ribosomal oxygenase 1 (60S ribosomal protein L8 histidine hydroxylase) (Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66) (EC 1.14.11.-) (EC 1.14.11.27) (Histone lysine demethylase NO66) (Myc-associated protein with JmjC domain) (Nucleolar protein 66) (hsNO66) (Ribosomal oxygenase NO66) (ROX)	RIOX1 C14orf169 MAPJD NO66
Q4U2R6	RM51_HUMAN	39S ribosomal protein L51, mitochondrial (L51mt) (MRP-L51) (Mitochondrial large ribosomal subunit protein mL51) (bMRP-64) (bMRP64)	MRPL51 MRP64 CDA09 HSPC241
P62851	RS25_HUMAN	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	RPS25
P62701	RS4X_HUMAN	40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)	RPS4X CCG2 RPS4 SCAR
P22090	RS4Y1_HUMAN	40S ribosomal protein S4, Y isoform 1 (Small ribosomal subunit protein eS4)	RPS4Y1 RPS4Y PRO2646
A6NKH3	RL37L_HUMAN	Putative 60S ribosomal protein L37a-like protein (Ribosomal protein L37a pseudogene 8)	RPL37AP8 RPL37L
P25398	RS12_HUMAN	40S ribosomal protein S12 (Small ribosomal subunit protein eS12)	RPS12
Q71UM5	RS27L_HUMAN	40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like)	RPS27L
Q9P0J6	RM36_HUMAN	39S ribosomal protein L36, mitochondrial (L36mt) (MRP-L36) (BRCA1-interacting protein 1) (Mitochondrial large ribosomal subunit protein bL36m)	MRPL36 BRIP1
P35268	RL22_HUMAN	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	RPL22
P39023	RL3_HUMAN	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	RPL3 OK/SW-cl.32
P62891	RL39_HUMAN	60S ribosomal protein L39 (Large ribosomal subunit protein eL39)	RPL39
Q92901	RL3L_HUMAN	60S ribosomal protein L3-like (Large ribosomal subunit protein uL3-like)	RPL3L
Q9BZE1	RM37_HUMAN	39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37) (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein mL37)	MRPL37 MRPL2 RPML2 HSPC235
Q02878	RL6_HUMAN	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	RPL6 TXREB1
Q86TS9	RM52_HUMAN	39S ribosomal protein L52, mitochondrial (L52mt) (MRP-L52) (Mitochondrial large ribosomal subunit protein mL52)	MRPL52
P62263	RS14_HUMAN	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	RPS14 PRO2640
P62857	RS28_HUMAN	40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	RPS28
P46778	RL21_HUMAN	60S ribosomal protein L21 (Large ribosomal subunit protein eL21)	RPL21
P49406	RM19_HUMAN	39S ribosomal protein L19, mitochondrial (L19mt) (MRP-L19) (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15) (Mitochondrial large ribosomal subunit protein bL19m)	MRPL19 KIAA0104 MRPL15
Q6P161	RM54_HUMAN	39S ribosomal protein L54, mitochondrial (L54mt) (MRP-L54) (Mitochondrial large ribosomal subunit protein mL54)	MRPL54
P62249	RS16_HUMAN	40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	RPS16
Q6NVV1	R13P3_HUMAN	Putative 60S ribosomal protein L13a protein RPL13AP3 (60S ribosomal protein L13a pseudogene 3)	RPL13AP3
P62913	RL11_HUMAN	60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5)	RPL11
P46783	RS10_HUMAN	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	RPS10
P62269	RS18_HUMAN	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	RPS18 D6S218E
P62244	RS15A_HUMAN	40S ribosomal protein S15a (Small ribosomal subunit protein uS8)	RPS15A OK/SW-cl.82
P46781	RS9_HUMAN	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	RPS9
Q8TD47	RS4Y2_HUMAN	40S ribosomal protein S4, Y isoform 2 (Small ribosomal subunit protein eS4)	RPS4Y2 RPS4Y2P
Q9Y2R5	RT17_HUMAN	28S ribosomal protein S17, mitochondrial (MRP-S17) (S17mt) (Mitochondrial small ribosomal subunit protein uS17m)	MRPS17 RPMS17 HSPC011
Q9Y3D9	RT23_HUMAN	28S ribosomal protein S23, mitochondrial (MRP-S23) (S23mt) (Mitochondrial small ribosomal subunit protein mS23)	MRPS23 CGI-138 HSPC329
P62753	RS6_HUMAN	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6 OK/SW-cl.2
P62899	RL31_HUMAN	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	RPL31
Q6P1L8	RM14_HUMAN	39S ribosomal protein L14, mitochondrial (L14mt) (MRP-L14) (39S ribosomal protein L32, mitochondrial) (L32mt) (MRP-L32) (Mitochondrial large ribosomal subunit protein uL14m)	MRPL14 MRPL32 RPML32
P52815	RM12_HUMAN	39S ribosomal protein L12, mitochondrial (L12mt) (MRP-L12) (5c5-2) (Mitochondrial large ribosomal subunit protein bL12m)	MRPL12 MRPL7 RPML12
Q96A35	RM24_HUMAN	39S ribosomal protein L24, mitochondrial (L24mt) (MRP-L24) (Mitochondrial large ribosomal subunit protein uL24m)	MRPL24
P46779	RL28_HUMAN	60S ribosomal protein L28 (Large ribosomal subunit protein eL28)	RPL28
Q13405	RM49_HUMAN	39S ribosomal protein L49, mitochondrial (L49mt) (MRP-L49) (Mitochondrial large ribosomal subunit protein mL49) (Neighbor of FAU) (NOF) (Protein NOF1)	MRPL49 C11orf4 NOF1 OK/SW-cl.67
Q9UHA3	RLP24_HUMAN	Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1) (Ribosomal protein L24-like)	RSL24D1 C15orf15 RPL24L My024
Q9BRJ2	RM45_HUMAN	39S ribosomal protein L45, mitochondrial (L45mt) (MRP-L45) (Mitochondrial large ribosomal subunit protein mL45)	MRPL45
Q9NVS2	RT18A_HUMAN	39S ribosomal protein S18a, mitochondrial (MRP-S18-a) (Mrps18a) (S18mt-a) (39S ribosomal protein S18-3, mitochondrial) (MRP-S18-3) (Mitochondrial large ribosomal subunit protein bS18a) (Mitochondrial large ribosomal subunit protein mL66)	MRPS18A
O15235	RT12_HUMAN	28S ribosomal protein S12, mitochondrial (MRP-S12) (S12mt) (MT-RPS12) (Mitochondrial small ribosomal subunit protein uS12m)	MRPS12 RPMS12 RPSM12
P46776	RL27A_HUMAN	60S ribosomal protein L27a (Large ribosomal subunit protein uL15)	RPL27A
P32969	RL9_HUMAN	60S ribosomal protein L9 (Large ribosomal subunit protein uL6)	RPL9 OK/SW-cl.103; RPL9P7; RPL9P8; RPL9P9
Q9Y6S9	RPKL1_HUMAN	Ribosomal protein S6 kinase-like 1 (EC 2.7.11.1)	RPS6KL1
Q9NZE8	RM35_HUMAN	39S ribosomal protein L35, mitochondrial (L35mt) (MRP-L35) (Mitochondrial large ribosomal subunit protein bL35m)	MRPL35 BM-007
Q9Y291	RT33_HUMAN	28S ribosomal protein S33, mitochondrial (MRP-S33) (S33mt) (Mitochondrial small ribosomal subunit protein mS33)	MRPS33 CGI-139 PTD003
P82933	RT09_HUMAN	28S ribosomal protein S9, mitochondrial (MRP-S9) (S9mt) (Mitochondrial small ribosomal subunit protein uS9m)	MRPS9 RPMS9
Q96EH5	RL39L_HUMAN	60S ribosomal protein L39-like (60S ribosomal protein L39-2) (Large ribosomal subunit protein eL39-like)	RPL39L RPL39L1
P47914	RL29_HUMAN	60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)	RPL29
Q9BYC9	RM20_HUMAN	39S ribosomal protein L20, mitochondrial (L20mt) (MRP-L20) (Mitochondrial large ribosomal subunit protein bL20m)	MRPL20
Q9BQ48	RM34_HUMAN	39S ribosomal protein L34, mitochondrial (L34mt) (MRP-L34) (Mitochondrial large ribosomal subunit protein bL34m)	MRPL34
P63220	RS21_HUMAN	40S ribosomal protein S21 (Small ribosomal subunit protein eS21)	RPS21
P82930	RT34_HUMAN	28S ribosomal protein S34, mitochondrial (MRP-S34) (S34mt) (Mitochondrial small ribosomal subunit protein mS34)	MRPS34
Q8N543	OGFD1_HUMAN	Prolyl 3-hydroxylase OGFOD1 (EC 1.14.11.-) (2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1) (Termination and polyadenylation 1 homolog) (uS12 prolyl 3-hydroxylase)	OGFOD1 KIAA1612 TPA1
P61513	RL37A_HUMAN	60S ribosomal protein L37a (Large ribosomal subunit protein eL43)	RPL37A
Q9H0U6	RM18_HUMAN	39S ribosomal protein L18, mitochondrial (L18mt) (MRP-L18) (Mitochondrial large ribosomal subunit protein uL18m)	MRPL18 HSPC071
Q9H2W6	RM46_HUMAN	39S ribosomal protein L46, mitochondrial (L46mt) (MRP-L46) (Mitochondrial large ribosomal subunit protein mL46) (P2ECSL)	MRPL46 C15orf4 LIECG2
Q13084	RM28_HUMAN	39S ribosomal protein L28, mitochondrial (L28mt) (MRP-L28) (Melanoma antigen p15) (Melanoma-associated antigen recognized by T-lymphocytes) (Mitochondrial large ribosomal subunit protein bL28m)	MRPL28 MAAT1
P78345	RPP38_HUMAN	Ribonuclease P protein subunit p38 (RNaseP protein p38) (EC 3.1.26.5)	RPP38
O96006	ZBED1_HUMAN	E3 SUMO-protein ligase ZBED1 (EC 2.3.2.-) (DNA replication-related element-binding factor) (Putative Ac-like transposable element) (Zinc finger BED domain-containing protein 1) (dREF homolog)	ZBED1 ALTE DREF hDREF KIAA0785 TRAMP
Q16762	THTR_HUMAN	Thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese)	TST
P62847	RS24_HUMAN	40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	RPS24
P42677	RS27_HUMAN	40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)	RPS27 MPS1
P61313	RL15_HUMAN	60S ribosomal protein L15 (Large ribosomal subunit protein eL15)	RPL15 EC45 TCBAP0781
P62854	RS26_HUMAN	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	RPS26
Q6P5R6	RL22L_HUMAN	60S ribosomal protein L22-like 1 (Large ribosomal subunit protein eL22-like 1)	RPL22L1
Q9Y3B7	RM11_HUMAN	39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11) (Mitochondrial large ribosomal subunit protein uL11m)	MRPL11 CGI-113
Q8NHW5	RLA0L_HUMAN	60S acidic ribosomal protein P0-like (Large ribosomal subunit protein uL10-like)	RPLP0P6
P62266	RS23_HUMAN	40S ribosomal protein S23 (Small ribosomal subunit protein uS12)	RPS23
P62841	RS15_HUMAN	40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)	RPS15 RIG
P83881	RL36A_HUMAN	60S ribosomal protein L36a (60S ribosomal protein L44) (Cell growth-inhibiting gene 15 protein) (Cell migration-inducing gene 6 protein) (Large ribosomal subunit protein eL42)	RPL36A RPL44 GIG15 MIG6
Q8TCC3	RM30_HUMAN	39S ribosomal protein L30, mitochondrial (L30mt) (MRP-L30) (39S ribosomal protein L28, mitochondrial) (L28mt) (MRP-L28) (Mitochondrial large ribosomal subunit protein uL30m)	MRPL30 MRPL28 RPML28 HSPC249
Q86UK7	ZN598_HUMAN	E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598)	ZNF598
P22670	RFX1_HUMAN	MHC class II regulatory factor RFX1 (Enhancer factor C) (EF-C) (Regulatory factor X 1) (RFX) (Transcription factor RFX1)	RFX1
P62750	RL23A_HUMAN	60S ribosomal protein L23a (Large ribosomal subunit protein uL23)	RPL23A
