Entry	Entry name	Protein names	Gene names
P25786	PSA1_HUMAN	Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)	PSMA1 HC2 NU PROS30 PSC2
P28072	PSB6_HUMAN	Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome delta chain) (Proteasome subunit Y)	PSMB6 LMPY Y
P28065	PSB9_HUMAN	Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	PSMB9 LMP2 PSMB6i RING12
P25789	PSA4_HUMAN	Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L)	PSMA4 HC9 PSC9
P20618	PSB1_HUMAN	Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)	PSMB1 PSC5
P40306	PSB10_HUMAN	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	PSMB10 LMP10 MECL1
P55036	PSMD4_HUMAN	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	PSMD4 MCB1
O00487	PSDE_HUMAN	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1
P43686	PRS6B_HUMAN	26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)	PSMC4 MIP224 TBP7
O00232	PSD12_HUMAN	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12
P35998	PRS7_HUMAN	26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2) (Protein MSS1)	PSMC2 MSS1
Q92530	PSMF1_HUMAN	Proteasome inhibitor PI31 subunit (hPI31)	PSMF1
Q06609	RAD51_HUMAN	DNA repair protein RAD51 homolog 1 (HsRAD51) (hRAD51) (RAD51 homolog A)	RAD51 RAD51A RECA
P15927	RFA2_HUMAN	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	RPA2 REPA2 RPA32 RPA34
Q9NV58	RN19A_HUMAN	E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38)	RNF19A RNF19
O95456	PSMG1_HUMAN	Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2)	PSMG1 C21LRP DSCR2 PAC1
Q99623	PHB2_HUMAN	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	PHB2 BAP REA
O95997	PTTG1_HUMAN	Securin (Esp1-associated protein) (Pituitary tumor-transforming gene 1 protein) (Tumor-transforming protein 1) (hPTTG)	PTTG1 EAP1 PTTG TUTR1
Q7Z6E9	RBBP6_HUMAN	E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis)	RBBP6 P2PR PACT RBQ1 My038
Q6PCD5	RFWD3_HUMAN	E3 ubiquitin-protein ligase RFWD3 (EC 2.3.2.27) (RING finger and WD repeat domain-containing protein 3) (RING finger protein 201)	RFWD3 RNF201
Q9Y508	RN114_HUMAN	E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 228) (Zinc finger protein 313)	RNF114 ZNF228 ZNF313
O15350	P73_HUMAN	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73
O75832	PSD10_HUMAN	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))	PSMD10
O14827	RGRF2_HUMAN	Ras-specific guanine nucleotide-releasing factor 2 (Ras-GRF2) (Ras guanine nucleotide exchange factor 2)	RASGRF2 GRF2
Q9Y244	POMP_HUMAN	Proteasome maturation protein (Proteassemblin) (Protein UMP1 homolog) (hUMP1) (Voltage-gated K channel beta subunit 4.1)	POMP C13orf12 UMP1 HSPC014 HSPC036 PNAS-110
Q969K3	RNF34_HUMAN	E3 ubiquitin-protein ligase RNF34 (EC 2.3.2.27) (Caspase regulator CARP1) (Caspases-8 and -10-associated RING finger protein 1) (CARP-1) (FYVE-RING finger protein Momo) (Human RING finger homologous to inhibitor of apoptosis protein) (hRFI) (RING finger protein 34) (RING finger protein RIFF) (RING-type E3 ubiquitin transferase RNF34)	RNF34
Q96GF1	RN185_HUMAN	E3 ubiquitin-protein ligase RNF185 (EC 2.3.2.27) (RING finger protein 185) (RING-type E3 ubiquitin transferase RNF185)	RNF185
Q9BSJ6	PIMRE_HUMAN	Protein PIMREG (CALM-interactor expressed in thymus and spleen) (PICALM-interacting mitotic regulator) (Regulator of chromosome segregation protein 1)	PIMREG CATS FAM64A RCS1
Q8NG27	PJA1_HUMAN	E3 ubiquitin-protein ligase Praja-1 (Praja1) (EC 2.3.2.27) (RING finger protein 70) (RING-type E3 ubiquitin transferase Praja-1)	PJA1 RNF70
Q06323	PSME1_HUMAN	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	PSME1 IFI5111
Q6ZMZ0	RN19B_HUMAN	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)	RNF19B IBRDC3 NKLAM
P51149	RAB7A_HUMAN	Ras-related protein Rab-7a	RAB7A RAB7
P06401	PRGR_HUMAN	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3
P61586	RHOA_HUMAN	Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12)	RHOA ARH12 ARHA RHO12
Q99436	PSB7_HUMAN	Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z)	PSMB7 Z
Q13972	RGRF1_HUMAN	Ras-specific guanine nucleotide-releasing factor 1 (Ras-GRF1) (Guanine nucleotide-releasing protein) (GNRP) (Ras-specific nucleotide exchange factor CDC25)	RASGRF1 CDC25 GNRP GRF1
Q8WZ73	RFFL_HUMAN	E3 ubiquitin-protein ligase rififylin (EC 2.3.2.27) (Caspase regulator CARP2) (Caspases-8 and -10-associated RING finger protein 2) (CARP-2) (FYVE-RING finger protein Sakura) (Fring) (RING finger and FYVE-like domain-containing protein 1) (RING finger protein 189) (RING finger protein 34-like) (RING-type E3 ubiquitin transferase rififylin)	RFFL RNF189 RNF34L
Q9Y3C5	RNF11_HUMAN	RING finger protein 11	RNF11 CGI-123
Q9UKV5	AMFR_HUMAN	E3 ubiquitin-protein ligase AMFR (EC 2.3.2.27) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (gp78)	AMFR RNF45
P62330	ARF6_HUMAN	ADP-ribosylation factor 6	ARF6
Q9Y576	ASB1_HUMAN	Ankyrin repeat and SOCS box protein 1 (ASB-1)	ASB1 KIAA1146
Q13489	BIRC3_HUMAN	Baculoviral IAP repeat-containing protein 3 (EC 2.3.2.27) (Apoptosis inhibitor 2) (API2) (Cellular inhibitor of apoptosis 2) (C-IAP2) (IAP homolog C) (Inhibitor of apoptosis protein 1) (hIAP-1) (hIAP1) (RING finger protein 49) (RING-type E3 ubiquitin transferase BIRC3) (TNFR2-TRAF-signaling complex protein 1)	BIRC3 API2 MIHC RNF49
P51451	BLK_HUMAN	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	BLK
Q9UKA2	FBXL4_HUMAN	F-box/LRR-repeat protein 4 (F-box and leucine-rich repeat protein 4) (F-box protein FBL4/FBL5)	FBXL4 FBL4 FBL5
Q8N461	FXL16_HUMAN	F-box/LRR-repeat protein 16 (F-box and leucine-rich repeat protein 16)	FBXL16 C16orf22 FBL16
O75626	PRDM1_HUMAN	PR domain zinc finger protein 1 (EC 2.1.1.-) (BLIMP-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1) (Positive regulatory domain I-binding factor 1) (PRDI-BF1) (PRDI-binding factor 1)	PRDM1 BLIMP1
Q16401	PSMD5_HUMAN	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	PSMD5 KIAA0072
Q8WVD3	RN138_HUMAN	E3 ubiquitin-protein ligase RNF138 (EC 2.3.2.27) (Nemo-like kinase-associated RING finger protein) (NLK-associated RING finger protein) (hNARF) (RING finger protein 138) (RING-type E3 ubiquitin transferase RNF138)	RNF138 NARF HSD-4 HSD4
P84022	SMAD3_HUMAN	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3)	SMAD3 MADH3
O43255	SIAH2_HUMAN	E3 ubiquitin-protein ligase SIAH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH2) (Seven in absentia homolog 2) (Siah-2) (hSiah2)	SIAH2
P78317	RNF4_HUMAN	E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RNF4) (Small nuclear ring finger protein) (Protein SNURF)	RNF4 SNURF RES4-26
Q8N8N0	RN152_HUMAN	E3 ubiquitin-protein ligase RNF152 (EC 2.3.2.27) (RING finger protein 152) (RING-type E3 ubiquitin transferase RNF152)	RNF152
Q86T96	RN180_HUMAN	E3 ubiquitin-protein ligase RNF180 (EC 2.3.2.27) (RING finger protein 180) (RING-type E3 ubiquitin transferase RNF180)	RNF180
Q96A44	SPSB4_HUMAN	SPRY domain-containing SOCS box protein 4 (SSB-4)	SPSB4 SSB4
O60858	TRI13_HUMAN	E3 ubiquitin-protein ligase TRIM13 (EC 2.3.2.27) (B-cell chronic lymphocytic leukemia tumor suppressor Leu5) (Leukemia-associated protein 5) (Putative tumor suppressor RFP2) (RING finger protein 77) (RING-type E3 ubiquitin transferase TRIM13) (Ret finger protein 2) (Tripartite motif-containing protein 13)	TRIM13 LEU5 RFP2 RNF77
Q96A61	TRI52_HUMAN	E3 ubiquitin-protein ligase TRIM52 (EC 2.3.2.27) (RING finger protein 102) (Tripartite motif-containing protein 52)	TRIM52 RNF102
Q9UHJ3	SMBT1_HUMAN	Scm-like with four MBT domains protein 1 (hSFMBT) (Renal ubiquitous protein 1)	SFMBT1 RU1
O14543	SOCS3_HUMAN	Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (STAT-induced STAT inhibitor 3) (SSI-3)	SOCS3 CIS3 SSI3
Q9UHV2	SRTD1_HUMAN	SERTA domain-containing protein 1 (CDK4-binding protein p34SEI1) (SEI-1) (p34(SEI-1)) (Transcriptional regulator interacting with the PHD-bromodomain 1) (TRIP-Br1)	SERTAD1 SEI1 TRIPBR1
Q86YC2	PALB2_HUMAN	Partner and localizer of BRCA2	PALB2 FANCN
Q8N1H7	S6OS1_HUMAN	Protein SIX6OS1 (Six6 opposite strand transcript 1)	SIX6OS1 C14orf39
O94972	TRI37_HUMAN	E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (Mulibrey nanism protein) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37)	TRIM37 KIAA0898 MUL POB1
Q8IW03	SIAH3_HUMAN	Seven in absentia homolog 3 (Siah-3)	SIAH3
Q5VVX9	UBE2U_HUMAN	Ubiquitin-conjugating enzyme E2 U (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme U) (Ubiquitin carrier protein U) (Ubiquitin-protein ligase U)	UBE2U
Q9BXM7	PINK1_HUMAN	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	PINK1
P06400	RB_HUMAN	Retinoblastoma-associated protein (p105-Rb) (p110-RB1) (pRb) (Rb) (pp110)	RB1
P63244	RACK1_HUMAN	Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21
Q9BV68	RN126_HUMAN	E3 ubiquitin-protein ligase RNF126 (EC 2.3.2.27) (RING finger protein 126)	RNF126
O95863	SNAI1_HUMAN	Zinc finger protein SNAI1 (Protein snail homolog 1) (Protein sna)	SNAI1 SNAH
Q15797	SMAD1_HUMAN	Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (JV4-1) (Mad-related protein 1) (SMAD family member 1) (SMAD 1) (Smad1) (hSMAD1) (Transforming growth factor-beta-signaling protein 1) (BSP-1)	SMAD1 BSP1 MADH1 MADR1
Q9NYY3	PLK2_HUMAN	Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)	PLK2 SNK
Q7Z698	SPRE2_HUMAN	Sprouty-related, EVH1 domain-containing protein 2 (Spred-2)	SPRED2
Q9NT68	TEN2_HUMAN	Teneurin-2 (Ten-2) (Protein Odd Oz/ten-m homolog 2) (Tenascin-M2) (Ten-m2) (Teneurin transmembrane protein 2) [Cleaved into: Ten-2, soluble form; Ten-2 intracellular domain (Ten-2 ICD)]	TENM2 KIAA1127 ODZ2 TNM2
O94941	RNF37_HUMAN	RING finger protein 37 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RNF37) (U-box domain-containing protein 5) (UbcM4-interacting protein 5) (hUIP5) (Ubiquitin-conjugating enzyme 7-interacting protein 5)	UBOX5 KIAA0860 RNF37 UBCE7IP5 UIP5
Q9P2J3	KLHL9_HUMAN	Kelch-like protein 9	KLHL9 KIAA1354
Q5JS37	NHLC3_HUMAN	NHL repeat-containing protein 3	NHLRC3
Q9UL17	TBX21_HUMAN	T-box transcription factor TBX21 (T-box protein 21) (T-cell-specific T-box transcription factor T-bet) (Transcription factor TBLYM)	TBX21 TBET TBLYM
P36897	TGFR1_HUMAN	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4
Q9UPN9	TRI33_HUMAN	E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)	TRIM33 KIAA1113 RFG7 TIF1G
O43556	SGCE_HUMAN	Epsilon-sarcoglycan (Epsilon-SG)	SGCE ESG UNQ433/PRO840
Q86TU7	SETD3_HUMAN	Actin-histidine N-methyltransferase (EC 2.1.1.85) (SET domain-containing protein 3) (hSETD3)	SETD3 C14orf154
Q9BQ15	SOSB1_HUMAN	SOSS complex subunit B1 (Nucleic acid-binding protein 2) (Oligonucleotide/oligosaccharide-binding fold-containing protein 2B) (Sensor of single-strand DNA complex subunit B1) (Sensor of ssDNA subunit B1) (SOSS-B1) (Single-stranded DNA-binding protein 1) (hSSB1)	NABP2 OBFC2B SSB1 LP3587
P78364	PHC1_HUMAN	Polyhomeotic-like protein 1 (hPH1) (Early development regulatory protein 1)	PHC1 EDR1 PH1
Q5XPI4	RN123_HUMAN	E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123) (RING-type E3 ubiquitin transferase RNF123)	RNF123 KPC1 FP1477
P35398	RORA_HUMAN	Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)	RORA NR1F1 RZRA
P54725	RD23A_HUMAN	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A
Q96PX1	RN157_HUMAN	E3 ubiquitin ligase RNF157 (EC 2.3.2.27) (RING finger protein 157) (RING-type E3 ubiquitin transferase RNF157)	RNF157 KIAA1917
O43166	SI1L1_HUMAN	Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1) (High-risk human papilloma viruses E6 oncoproteins targeted protein 1) (E6-targeted protein 1)	SIPA1L1 E6TP1 KIAA0440
P61088	UBE2N_HUMAN	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (UbcH13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)	UBE2N BLU
A0AVT1	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2
Q96RU2	UBP28_HUMAN	Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28)	USP28 KIAA1515
Q7Z419	R144B_HUMAN	E3 ubiquitin-protein ligase RNF144B (EC 2.3.2.31) (IBR domain-containing protein 2) (RING finger protein 144B) (p53-inducible RING finger protein)	RNF144B IBRDC2 P53RFP
Q02833	RASF7_HUMAN	Ras association domain-containing protein 7 (HRAS1-related cluster protein 1)	RASSF7 C11orf13 HRC1
Q9C035	TRIM5_HUMAN	Tripartite motif-containing protein 5 (EC 2.3.2.27) (RING finger protein 88) (RING-type E3 ubiquitin transferase TRIM5)	TRIM5 RNF88
Q712K3	UB2R2_HUMAN	Ubiquitin-conjugating enzyme E2 R2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme R2) (Ubiquitin carrier protein R2) (Ubiquitin-conjugating enzyme E2-CDC34B) (Ubiquitin-protein ligase R2)	UBE2R2 CDC34B UBC3B
P68036	UB2L3_HUMAN	Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3)	UBE2L3 UBCE7 UBCH7
Q99497	PARK7_HUMAN	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124)	PARK7
P62714	PP2AB_HUMAN	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform (PP2A-beta) (EC 3.1.3.16)	PPP2CB
Q9BT73	PSMG3_HUMAN	Proteasome assembly chaperone 3 (PAC-3) (hPAC3)	PSMG3 C7orf48 PAC3
Q9HCE7	SMUF1_HUMAN	E3 ubiquitin-protein ligase SMURF1 (hSMURF1) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1)	SMURF1 KIAA1625
P0DMM9	ST1A3_HUMAN	Sulfotransferase 1A3 (ST1A3) (EC 2.8.2.1) (Aryl sulfotransferase 1A3/1A4) (Catecholamine-sulfating phenol sulfotransferase) (HAST3) (M-PST) (Monoamine-sulfating phenol sulfotransferase) (Placental estrogen sulfotransferase) (Sulfotransferase 1A3/1A4) (Sulfotransferase, monoamine-preferring) (Thermolabile phenol sulfotransferase) (TL-PST)	SULT1A3 STM
Q03518	TAP1_HUMAN	Antigen peptide transporter 1 (APT1) (EC 7.4.2.-) (ATP-binding cassette sub-family B member 2) (Peptide supply factor 1) (Peptide transporter PSF1) (PSF-1) (Peptide transporter TAP1) (Peptide transporter involved in antigen processing 1) (Really interesting new gene 4 protein) (RING4)	TAP1 ABCB2 PSF1 RING4 Y3
Q6NT89	TRNP1_HUMAN	TMF-regulated nuclear protein 1	TRNP1 C1orf225 TRNP
P23396	RS3_HUMAN	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	RPS3 OK/SW-cl.26
Q6ZVN7	SEML_HUMAN	Putative protein SEM1, isoform 2	SEM1 C7orf76
Q14493	SLBP_HUMAN	Histone RNA hairpin-binding protein (Histone stem-loop-binding protein)	SLBP HBP
Q9BT92	TCHP_HUMAN	Trichoplein keratin filament-binding protein (Protein TCHP) (Mitochondrial protein with oncostatic activity) (Mitostatin) (Tumor suppressor protein)	TCHP
Q14142	TRI14_HUMAN	Tripartite motif-containing protein 14	TRIM14 KIAA0129
Q9BZR9	TRIM8_HUMAN	E3 ubiquitin-protein ligase TRIM8 (EC 2.3.2.27) (Glioblastoma-expressed RING finger protein) (RING finger protein 27) (RING-type E3 ubiquitin transferase TRIM8) (Tripartite motif-containing protein 8)	TRIM8 GERP RNF27
O43791	SPOP_HUMAN	Speckle-type POZ protein (HIB homolog 1) (Roadkill homolog 1)	SPOP
Q9C029	TRIM7_HUMAN	E3 ubiquitin-protein ligase TRIM7 (EC 2.3.2.27) (Glycogenin-interacting protein) (RING finger protein 90) (Tripartite motif-containing protein 7)	TRIM7 GNIP RNF90
Q9C026	TRIM9_HUMAN	E3 ubiquitin-protein ligase TRIM9 (EC 2.3.2.27) (RING finger protein 91) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif-containing protein 9)	TRIM9 KIAA0282 RNF91
Q9Y5K5	UCHL5_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)	UCHL5 UCH37 AD-019 CGI-70
P0C1Z6	TFPT_HUMAN	TCF3 fusion partner (INO80 complex subunit F) (Protein FB1)	TFPT INO80F
Q9NS56	TOPRS_HUMAN	E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3)	TOPORS LUN TP53BPL
Q92547	TOPB1_HUMAN	DNA topoisomerase 2-binding protein 1 (DNA topoisomerase II-beta-binding protein 1) (TopBP1) (DNA topoisomerase II-binding protein 1)	TOPBP1 KIAA0259
